wo_id,remark
EBA-2500110,COVER BUMPER DEPAN - K/D/C/P
EBA-2500111,*sesuai merimen
EBA-2500112,COVER BUMPER DEPAN - K/D/C/P
EBA-2500113,BUMPER BELAKANG - K/D/C/P
EBA-2500113,COVER BUMPER BELAKANG - K/D/C/P
EBA-2500114,TUTUP TANGKI -K/D/C/P
EBA-2500114,BUMPER DEPAN - K/D/C/P
EBA-2500117,SISIP AEROKIT FR (R) K/D/C/P
EBA-2500118,SALON BODI LUAR
EBA-2500118,SALON RUANG MESIN
EBA-2500118,CAT LIST DOOR RR LH - K/D/C/P
EBA-2500118,SALON INTERIOR +
EBA-2500118,BERSIHKAN KACA
EBA-2500120,COVER RR BUMPER (R) K/D/C/P
EBA-2500123,grille radiator - k/d/c/p
EBA-2500123,ALIHKAN WO DAARI BK1396AFN
EBA-2500125,COVER BUMPER DEPAN - BP/G
EBA-2500128,COVER BUMPER DEPAN - K/D/C/P
EBA-2500131,PANEL BAWAH PINTU BAK - K/D/C/P
EBA-2500131,PINTU BAK BELAKANG - K/D/C/P
EBA-2500132,KAP MESIN - K/D/C/P
EBA-2500132,BUMPER DEPAN - K/D/C/P
EBA-2500133,ATAP - K/D/C/P
EBA-2500133,PILLAR UPR RH - K/D/C/P
EBA-2500134,*SESUAI MERIMEN
EBA-2500136,COVER BUMPER DEPAN - K/D/C/P
EBA-2500138,*SESUAI MERIMEN
EBA-2500140,*SESUAI MERIMEN
EBA-2500142,"GANTI MIRROR ASSY,DOOR,RH"
EBA-2500142,"GANTI COVER,DOOR MIRROR,OTR RH"
EBA-2500145,*SESUAI MERIMEN
EBA-2500146,COVER BUMPER DEPAN - K/D/C/P
EBA-2500147,GANTI LAMPU STOP RR LH - BP/G
EBA-2500148,*SESUAI MERIMEN
EBA-2500154,GANTI PELIPIT KACA PINTU FR RH - BP/G
EBA-2500155,*SESUAI MERIMEN
EBA-2500156,GANTI LAMPU STOP BELAKANG KIRI - BP/G
EBA-2500158,GANTI LAMPU STOP BELAKANG KIRI - BP/G
EBA-2500159,COVER FR BUMPER - K/D/C/P
EBA-2500160,COVER BUMPER DEPAN - K/D/C/P
EBA-2500161,FENDER FR LH - K/D/C/P
EBA-2500161,BUMPER DEPAN - K/D/C/P
EBA-2500163,GANTI SPION KANAN
EBA-2500163,GANTI SPION KIRI
EBA-2500164,*SESUAI MERIMEN
EBA-2500165,*SESUAI MERIMEN
EBA-2500166,*SESUAI MERIMEN
EBA-2500170,GANTI SPION KIRI - BP/G
EBA-2500172,COVER BUMPER DEPAN - K/D/C/P
EBA-2500174,ATAP - K/D/C/P
EBA-2500174,PILLAR UPR LH - K/D/C/P
EBA-2500176,*SESUAI MERIMEN
EBA-2500182,KAP MESIN - K/D/C/P
